央视频道,#genre#
CCTV-16 奥林匹克,http://ipipip/rtp/233.50.201.63:5140

卫视频道,#genre#
宁夏卫视,http://ipipip/rtp/233.50.202.45:5140
兵团卫视,http://ipipip/rtp/233.50.202.44:5140

4K专区,#genre#
北京卫视4K,http://ipipip/rtp/233.50.202.100:5140
东方卫视4K,http://ipipip/rtp/233.50.202.105:5140
广东卫视4K,http://ipipip/rtp/233.50.202.101:5140
深圳卫视4K,http://ipipip/rtp/233.50.202.102:5140
浙江卫视4K,http://ipipip/rtp/233.50.202.104:5140
江苏卫视4K,http://ipipip/rtp/233.50.202.107:5140
湖南卫视4K,http://ipipip/rtp/233.50.202.106:5140
山东卫视4K,http://ipipip/rtp/233.50.202.108:5140
四川卫视4K,http://ipipip/rtp/233.50.202.109:5140

体育频道,#genre#
睛彩青少,http://ipipip/rtp/233.50.202.28:5140
睛彩竞技,http://ipipip/rtp/233.50.202.26:5140
睛彩篮球,http://ipipip/rtp/233.50.202.27:5140
睛彩广场舞,http://ipipip/rtp/233.50.202.29:5140
快乐垂钓,http://ipipip/rtp/233.50.201.109:5140
游戏风云,http://ipipip/rtp/233.50.201.183:5140

数字频道,#genre#
环球奇观,http://ipipip/rtp/233.50.202.31:5140
EETV生态环境,http://ipipip/rtp/233.50.202.103:5140
乐游,http://ipipip/rtp/233.50.201.185:5140
生活时尚,http://ipipip/rtp/233.50.201.187:5140
都市剧场,http://ipipip/rtp/233.50.201.190:5140
法治天地,http://ipipip/rtp/233.50.201.191:5140

少儿频道,#genre#
卡酷少儿,http://ipipip/rtp/233.50.202.33:5140 
金色学堂,http://ipipip/rtp/233.50.201.186:5140
动漫秀场,http://ipipip/rtp/233.50.201.184:5140
浙江少儿,http://ipipip/rtp/233.50.201.138:5140

港澳台频道,#genre#
凤凰卫视中文台,http://ipipip/rtp/233.50.202.35:5140
凤凰卫视资讯台,http://ipipip/rtp/233.50.202.36:5140

