2026/08/11 16:47更新,#genre#
IPTV热播剧场,http://123.118.58.227:8686/rtp/239.3.1.194:9020
华数影视,http://112.109.206.43:9999/rtp/239.255.40.159:8208
华数星影,http://123.118.58.227:8686/rtp/239.3.1.94:4120
华数电影,http://112.109.206.43:9999/rtp/239.255.40.64:8208
华数爱电影,http://219.156.92.27:4022/rtp/225.1.4.6:1035
华数喜剧影院,http://123.118.58.227:8686/rtp/239.3.1.91:4120
华数怀旧电影,http://116.2.168.173:4010/rtp/232.0.0.48:1234
华数武侠剧场,http://123.118.58.227:8686/rtp/239.3.1.90:4120
华数少儿动画,http://123.118.58.227:8686/rtp/239.3.1.199:9000
华数动画,http://123.118.58.227:8686/rtp/239.3.1.80:4120
华数军旅剧场,http://123.118.58.227:8686/rtp/239.3.1.68:4120
华数家庭影院,http://123.118.58.227:8686/rtp/239.3.1.93:4120
华数古装剧场,http://183.220.20.17:4321/rtp/239.10.0.126:5140
华数动作影院,http://123.118.58.227:8686/rtp/239.3.1.92:4120
华数城市剧场,http://123.118.58.227:8686/rtp/239.3.1.67:4120
华数精选,http://123.118.58.227:8686/rtp/239.3.1.74:4120
家庭影院,http://112.192.73.205:8484/rtp/239.0.0.23:5140
爱大剧,http://219.156.92.27:4022/rtp/225.1.4.8:1037
IPTV法治,http://219.156.92.27:4022/rtp/225.1.4.188:1237
IPTV地理,http://123.118.58.227:8686/rtp/239.3.1.71:4120
IPTV相声小品,http://219.156.92.27:4022/rtp/225.1.4.186:1235
IPTV野外,http://219.156.92.27:4022/rtp/225.1.4.187:1236
IPTV足球,http://123.118.58.227:8686/rtp/239.3.1.89:4120
IPTV早教,http://123.118.58.227:8686/rtp/239.3.1.79:4120
IPTV音乐现场,http://123.118.58.227:8686/rtp/239.3.1.70:4120
IPTV戏曲,http://123.118.58.227:8686/rtp/239.3.1.78:4120
IPTV武术,http://123.118.58.227:8686/rtp/239.3.1.87:4120
IPTV高网,http://183.220.20.17:4321/rtp/239.10.0.164:5140
IPTV台球,http://123.118.58.227:8686/rtp/239.3.1.85:4120
IPTV收视指南,http://123.118.58.227:8686/rtp/239.3.1.193:8012
IPTV鉴赏,http://123.118.58.227:8686/rtp/239.3.1.82:4120
IPTV墨宝,http://123.118.58.227:8686/rtp/239.3.1.83:4120
IPTV美人,http://123.118.58.227:8686/rtp/239.3.1.73:4120
IPTV军事,http://123.118.58.227:8686/rtp/239.3.1.76:4120
IPTV解密,http://123.118.58.227:8686/rtp/239.3.1.75:4120
IPTV美妆,http://123.118.58.227:8686/rtp/239.3.1.72:4120
IPTV好学生,http://123.118.58.227:8686/rtp/239.3.1.81:4120
IPTV国学,http://123.118.58.227:8686/rtp/239.3.1.77:4120
IPTV爱生活,http://123.118.58.227:8686/rtp/239.3.1.86:4120
IPTV3综艺,http://219.156.92.27:4022/rtp/225.1.4.204:1252
IPTV4,http://123.118.58.227:8686/rtp/239.3.1.249:8001
光影,http://123.118.58.227:8686/rtp/239.3.1.84:4120
先锋乒羽,http://112.192.73.205:8484/rtp/239.0.0.37:5140
天元围棋,http://60.4.31.149:8077/rtp/239.253.93.211:6389
精彩影视,http://112.192.73.205:8484/rtp/239.0.0.26:5140
睛彩青少,http://183.220.20.17:4321/rtp/239.10.0.130:5140
睛彩竞技,http://123.118.58.227:8686/rtp/239.3.1.125:8001
