2026/08/11 15:44更新,#genre#
CHC动作电影,http://183.222.206.14:8096/udp/239.94.1.175:5140
CHC家庭影院,http://183.222.206.14:8096/udp/239.94.1.173:5140
劲爆电影,http://116.2.168.173:4010/rtp/232.0.0.155:1234
华数谍战剧场,http://112.66.104.195:8888/rtp/239.253.64.212:5140
红色经典,http://183.222.206.14:8096/udp/239.94.1.48:5140
华数经典电影,http://114.254.35.127:18888/rtp/239.3.1.195:9024
BesTV_华语影院,http://183.222.206.14:8096/udp/239.94.1.22:5140
华数魅力时尚,http://114.254.35.127:18888/rtp/239.3.1.196:9012
华数热播剧场,http://114.254.35.127:18888/rtp/239.3.1.194:9020
华数影视,http://112.66.104.195:8888/rtp/239.253.64.49:5140
华数星影,http://114.254.35.127:18888/rtp/239.3.1.94:4120
华数喜剧影院,http://114.254.35.127:18888/rtp/239.3.1.91:4120
华数武侠剧场,http://114.254.35.127:18888/rtp/239.3.1.90:4120
华数少儿动画,http://114.254.35.127:18888/rtp/239.3.1.199:9000
华数动画,http://114.254.35.127:18888/rtp/239.3.1.80:4120
华数军旅剧场,http://114.254.35.127:18888/rtp/239.3.1.68:4120
华数家庭影院,http://114.254.35.127:18888/rtp/239.3.1.93:4120
华数古装剧场,http://112.66.104.195:8888/rtp/239.253.64.221:5140
华数动作影院,http://114.254.35.127:18888/rtp/239.3.1.92:4120
华数城市剧场,http://114.254.35.127:18888/rtp/239.3.1.67:4120
华数精选,http://114.254.35.127:18888/rtp/239.3.1.74:4120
经典剧场,http://183.222.206.14:8096/udp/239.94.1.49:5140
IPTV法治,http://112.66.104.195:8888/rtp/239.253.64.213:5140
IPTV地理,http://114.254.35.127:18888/rtp/239.3.1.71:4120
IPTV相声小品,http://112.66.104.195:8888/rtp/239.253.64.214:5140
IPTV野外,http://112.66.104.195:8888/rtp/239.253.64.215:5140
IPTV足球,http://114.254.35.127:18888/rtp/239.3.1.89:4120
IPTV14早教,http://114.254.35.127:18888/rtp/239.3.1.79:4120
IPTV15音乐现场,http://114.254.35.127:18888/rtp/239.3.1.70:4120
