其它频道,#genre#
吉林卫视,http://223.166.244.186:8001/rtp/233.18.204.108:5140$上海联通1
辽宁卫视,http://223.166.244.186:8001/rtp/233.18.204.96:5140$上海联通1
内蒙古卫视,http://223.166.244.186:8001/rtp/233.18.204.217:5140$上海联通1
湖南卫视,http://223.166.244.186:8001/rtp/233.18.204.86:5140$上海联通1
广东卫视,http://223.166.244.186:8001/rtp/233.18.204.88:5140$上海联通1
河南卫视,http://223.166.244.186:8001/rtp/233.18.204.105:5140$上海联通1
河北卫视,http://223.166.244.186:8001/rtp/233.18.204.103:5140$上海联通1
宁夏卫视,http://223.166.244.186:8001/rtp/233.18.204.230:5140$上海联通1
甘肃卫视,http://223.166.244.186:8001/rtp/233.18.204.110:5140$上海联通1
青海卫视,http://223.166.244.186:8001/rtp/233.18.204.112:5140$上海联通1
新疆卫视,http://223.166.244.186:8001/rtp/233.18.204.220:5140$上海联通1
西藏卫视,http://223.166.244.186:8001/rtp/233.18.204.222:5140$上海联通1
兵团卫视,http://223.166.244.186:8001/rtp/233.18.204.221:5140$上海联通1
三沙卫视,http://223.166.244.186:8001/rtp/233.18.204.172:5140$上海联通1
4K专区,#genre#
欢笑剧场4K,http://223.166.244.186:8001/rtp/233.18.204.115:5140$上海联通1
欢笑剧场,http://223.166.244.186:8001/rtp/233.18.204.50:5140$上海联通1
数字频道,#genre#
CHC影迷电影,http://223.166.244.186:8001/rtp/233.18.204.175:5140$上海联通1
CHC家庭影院,http://223.166.244.186:8001/rtp/233.18.204.173:5140$上海联通1
CHC动作电影,http://223.166.244.186:8001/rtp/233.18.204.174:5140$上海联通1
法治天地,http://223.166.244.186:8001/rtp/233.18.204.49:5140$上海联通1
金鹰纪实,http://223.166.244.186:8001/rtp/233.18.204.104:5140$上海联通1
生活时尚,http://223.166.244.186:8001/rtp/233.18.204.45:5140$上海联通1
乐游,http://223.166.244.186:8001/rtp/233.18.204.47:5140$上海联通1
都市剧场,http://223.166.244.186:8001/rtp/233.18.204.48:5140$上海联通1
少儿频道,#genre#
金色学堂,http://223.166.244.186:8001/rtp/233.18.204.66:5140$上海联通1
动漫秀场,http://223.166.244.186:8001/rtp/233.18.204.46:5140$上海联通1
金鹰卡通,http://223.166.244.186:8001/rtp/233.18.204.113:5140$上海联通1
卡酷少儿,http://223.166.244.186:8001/rtp/233.18.204.109:5140$上海联通1
