4K专区,#genre#
星影,http://home.660888.xyz:4000/udp/225.0.4.172:7980$重庆联通
武侠剧场,http://58.17.134.3:8005/udp/225.0.4.168:7980$重庆联通
武侠剧场,http://home.660888.xyz:4000/udp/225.0.4.168:7980$重庆联通
热播剧场,http://58.17.134.3:8005/udp/225.0.4.47:7980$重庆联通
热播剧场,http://home.660888.xyz:4000/udp/225.0.4.47:7980$重庆联通
精选,http://58.17.134.3:8005/udp/225.0.4.152:7980$重庆联通
精选,http://home.660888.xyz:4000/udp/225.0.4.152:7980$重庆联通
经典电影,http://58.17.134.3:8005/udp/225.0.4.48:7980$重庆联通
经典电影,http://home.660888.xyz:4000/udp/225.0.4.48:7980$重庆联通
体育频道,#genre#
游戏风云,http://58.17.134.3:8005/udp/225.0.4.237:7980$重庆联通
游戏风云,http://home.660888.xyz:4000/udp/225.0.4.237:7980$重庆联通
快乐垂钓,http://58.17.134.3:8005/udp/225.0.4.213:7980$重庆联通
快乐垂钓,http://home.660888.xyz:4000/udp/225.0.4.213:7980$重庆联通
重庆汽摩,http://58.17.134.3:8005/udp/225.0.4.195:7980$重庆联通
重庆汽摩,http://home.660888.xyz:4000/udp/225.0.4.195:7980$重庆联通
少儿频道,#genre#
动漫秀场,http://58.17.134.3:8005/udp/225.0.4.236:7980$重庆联通
动漫秀场,http://home.660888.xyz:4000/udp/225.0.4.236:7980$重庆联通
卫视频道,#genre#
甘肃卫视,http://58.17.134.3:8005/udp/225.0.4.181:7980$重庆联通
甘肃卫视,http://home.660888.xyz:4000/udp/225.0.4.181:7980$重庆联通
新疆卫视,http://58.17.134.3:8005/udp/225.0.4.60:7980$重庆联通
新疆卫视,http://home.660888.xyz:4000/udp/225.0.4.60:7980$重庆联通
西藏卫视,http://58.17.134.3:8005/udp/225.0.4.67:7980$重庆联通
西藏卫视,http://home.660888.xyz:4000/udp/225.0.4.67:7980$重庆联通
兵团卫视,http://58.17.134.3:8005/udp/225.0.4.72:7980$重庆联通
兵团卫视,http://home.660888.xyz:4000/udp/225.0.4.72:7980$重庆联通
